TYP,POS,DUR
768,402168,1875
769,402668,313
768,404063,1875
769,404563,313
768,406035,1875
770,406535,313
768,407979,1875
772,408479,313
768,409946,1875
771,410446,313
768,412066,1875
770,412566,313
768,414074,1875
772,414574,313
768,416140,1875
771,416640,313
768,418176,1875
772,418676,313
768,420242,1875
771,420742,313
768,422312,1875
772,422812,313
768,424392,1875
770,424892,313
768,426304,1875
770,426804,313
768,428335,1875
772,428835,313
768,430288,1875
769,430788,313
768,432249,1875
770,432749,313
768,434353,1875
770,434853,313
768,436357,1875
770,436857,313
768,438332,1875
771,438832,313
768,440358,1875
772,440858,313
768,442429,1875
769,442929,313
768,444536,1875
772,445036,313
768,446628,1875
769,447128,313
768,448719,1875
771,449219,313
768,450762,1875
769,451262,313
768,452826,1875
772,453326,313
768,454846,1875
769,455346,313
768,456818,1875
771,457318,313
768,458781,1875
769,459281,313
768,460706,1875
770,461206,313
768,462787,1875
771,463287,313
768,464765,1875
771,465265,313
768,466755,1875
772,467255,313
768,468874,1875
769,469374,313
768,470780,1875
770,471280,313
768,472708,1875
772,473208,313
768,474822,1875
770,475322,313
768,476881,1875
1023,476881,1875
771,477381,313
32766,478859,0
768,479209,1875
771,479709,313
768,481212,1875
769,481712,313
768,483130,1875
772,483630,313
768,485082,1875
770,485582,313
768,487090,1875
772,487590,313
768,489201,1875
769,489701,313
768,491118,1875
769,491618,313
768,493168,1875
771,493668,313
768,495099,1875
771,495599,313
768,497097,1875
770,497597,313
768,499003,1875
772,499503,313
768,500898,1875
770,501398,313
768,502870,1875
770,503370,313
768,504814,1875
769,505314,313
768,506781,1875
770,507281,313
768,508901,1875
772,509401,313
768,510909,1875
772,511409,313
768,512975,1875
770,513475,313
768,515011,1875
770,515511,313
768,517077,1875
770,517577,313
768,519147,1875
770,519647,313
768,521227,1875
772,521727,313
768,523139,1875
1023,523139,1875
772,523639,313
768,525170,1875
771,525670,313
768,527123,1875
772,527623,313
768,529084,1875
769,529584,313
768,531188,1875
770,531688,313
768,533192,1875
771,533692,313
768,535167,1875
770,535667,313
768,537193,1875
769,537693,313
768,539264,1875
772,539764,313
768,541371,1875
769,541871,313
768,543463,1875
772,543963,313
768,545554,1875
769,546054,313
768,547597,1875
769,548097,313
768,549661,1875
769,550161,313
768,551681,1875
769,552181,313
768,553653,1875
1023,553653,1875
771,554153,313
768,555616,1875
771,556116,313
768,557541,1875
772,558041,313
768,559622,1875
770,560122,313
768,561600,1875
771,562100,313
768,563590,1875
771,564090,313
768,565709,1875
771,566209,313
768,567615,1875
772,568115,313
768,569543,1875
771,570043,313
768,571657,1875
769,572157,313
768,573716,1875
771,574216,313
32766,575694,0
768,576044,1875
769,576544,313
768,578047,1875
772,578547,313
768,579965,1875
770,580465,313
768,581917,1875
772,582417,313
768,583925,1875
772,584425,313
768,586036,1875
771,586536,313
768,587953,1875
772,588453,313
768,590003,1875
772,590503,313
768,591934,1875
771,592434,313
768,593932,1875
770,594432,313
768,595838,1875
772,596338,313
768,597733,1875
771,598233,313
768,599705,1875
769,600205,313
768,601649,1875
770,602149,313
768,603616,1875
1023,603616,1875
770,604116,313
768,605736,1875
770,606236,313
768,607744,1875
771,608244,313
768,609810,1875
770,610310,313
768,611846,1875
772,612346,313
768,613912,1875
771,614412,313
768,615982,1875
772,616482,313
768,618062,1875
770,618562,313
768,619974,1875
771,620474,313
768,622005,1875
769,622505,313
768,623958,1875
772,624458,313
768,625919,1875
769,626419,313
768,628023,1875
771,628523,313
768,630027,1875
772,630527,313
768,632002,1875
769,632502,313
768,634028,1875
771,634528,313
768,636099,1875
769,636599,313
768,638206,1875
770,638706,313
768,640298,1875
770,640798,313
768,642389,1875
769,642889,313
768,644432,1875
772,644932,313
768,646496,1875
769,646996,313
768,648516,1875
1023,648516,1875
772,649016,313
768,650488,1875
771,650988,313
768,652451,1875
771,652951,313
768,654376,1875
769,654876,313
768,656457,1875
771,656957,313
768,658435,1875
770,658935,313
768,660425,1875
770,660925,313
768,662544,1875
769,663044,313
768,664450,1875
771,664950,313
768,666378,1875
769,666878,313
768,668492,1875
770,668992,313
768,670551,1875
1023,670551,1875
769,671051,313
